epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [2][480/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 8.1837 (9.5450)	
Epoch: [2][510/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 21.0921 (9.8220)	
Epoch: [2][540/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.1978 (9.8471)	
Epoch: [2][570/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 6.3382 (9.7124)	
Epoch: [2][600/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 1.9548 (9.6624)	
Epoch: [2][630/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 8.0462 (9.6626)	
Epoch: [2][660/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 8.4766 (9.6647)	
Epoch: [2][690/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 11.1653 (9.5300)	
Epoch: [2][720/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 9.9053 (9.6735)	
Epoch: [2][750/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.8387 (9.7412)	
Epoch: [2][780/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 10.5740 (9.6778)	
Epoch: [2][810/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 5.4688 (9.7064)	
Epoch: [2][840/1445]	Time 0.020 (0.023)	Data 0.002 (0.003)	Loss 5.5333 (9.6116)	
Epoch: [2][870/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 4.4953 (9.5497)	
Epoch: [2][900/1445]	Time 0.021 (0.023)	Data 0.002 (0.003)	Loss 2.5405 (9.4448)	
Epoch: [2][930/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.3571 (9.3094)	
Epoch: [2][960/1445]	Time 0.021 (0.023)	Data 0.002 (0.003)	Loss 8.8718 (9.2102)	
Epoch: [2][990/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.5002 (9.1235)	
Epoch: [2][1020/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 8.6405 (9.0664)	
