epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [1][1440/1445]	Time 0.022 (0.022)	Data 0.002 (0.002)	Loss 33.0897 (7.0019)	
begin test
 * MAE 45.055 
 * best MAE 43.112 
epoch 2, processed 2890 samples, lr 0.0000001000
Epoch: [2][0/1445]	Time 0.268 (0.268)	Data 0.253 (0.253)	Loss 1.8317 (1.8317)	
Epoch: [2][30/1445]	Time 0.022 (0.030)	Data 0.002 (0.010)	Loss 5.3307 (8.0994)	
Epoch: [2][60/1445]	Time 0.022 (0.026)	Data 0.002 (0.006)	Loss 1.4151 (7.4489)	
Epoch: [2][90/1445]	Time 0.023 (0.025)	Data 0.002 (0.005)	Loss 1.3413 (6.3727)	
Epoch: [2][120/1445]	Time 0.023 (0.024)	Data 0.002 (0.005)	Loss 1.6009 (6.3199)	
Epoch: [2][150/1445]	Time 0.023 (0.024)	Data 0.002 (0.004)	Loss 1.5916 (6.0651)	
Epoch: [2][180/1445]	Time 0.023 (0.024)	Data 0.003 (0.004)	Loss 1.3924 (6.2194)	
Epoch: [2][210/1445]	Time 0.022 (0.024)	Data 0.002 (0.004)	Loss 3.7479 (6.0275)	
Epoch: [2][240/1445]	Time 0.023 (0.023)	Data 0.003 (0.004)	Loss 7.2869 (6.4934)	
Epoch: [2][270/1445]	Time 0.021 (0.023)	Data 0.002 (0.003)	Loss 3.4264 (6.3421)	
Epoch: [2][300/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.4460 (6.1269)	
Epoch: [2][330/1445]	Time 0.021 (0.023)	Data 0.002 (0.003)	Loss 7.3747 (5.9775)	
Epoch: [2][360/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.4400 (5.8310)	
Epoch: [2][390/1445]	Time 0.021 (0.023)	Data 0.002 (0.003)	Loss 3.5543 (5.9680)	
Epoch: [2][420/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.4669 (5.8915)	
Epoch: [2][450/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 5.2575 (5.8482)	
Epoch: [2][480/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.8112 (5.8489)	
Epoch: [2][510/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 35.7081 (5.9005)	
Epoch: [2][540/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.1262 (6.0110)	
Epoch: [2][570/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 2.3632 (6.3869)	
Epoch: [2][600/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 4.8448 (6.5765)	
Epoch: [2][630/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 18.1846 (6.5079)	
Epoch: [2][660/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 5.4778 (6.4924)	
Epoch: [2][690/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.7267 (6.9364)	
Epoch: [2][720/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.8617 (6.9421)	
Epoch: [2][750/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.6700 (6.8608)	
Epoch: [2][780/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 2.8405 (6.7674)	
Epoch: [2][810/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 5.2745 (6.7401)	
Epoch: [2][840/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.2838 (6.7218)	
Epoch: [2][870/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 11.3408 (6.7118)	
Epoch: [2][900/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 5.4131 (6.8246)	
Epoch: [2][930/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 4.5530 (6.8338)	
Epoch: [2][960/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 96.3493 (6.9239)	
Epoch: [2][990/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 5.2815 (6.8911)	
Epoch: [2][1020/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 7.0445 (6.8469)	
Epoch: [2][1050/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 3.8901 (6.8834)	
Epoch: [2][1080/1445]	Time 0.025 (0.023)	Data 0.002 (0.003)	Loss 108.5658 (6.9694)	
Epoch: [2][1110/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 2.1873 (6.9317)	
Epoch: [2][1140/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.8103 (6.8630)	
Epoch: [2][1170/1445]	Time 0.023 (0.022)	Data 0.002 (0.003)	Loss 3.4155 (6.8232)	
Epoch: [2][1200/1445]	Time 0.022 (0.022)	Data 0.002 (0.003)	Loss 6.9143 (6.9464)	
Epoch: [2][1230/1445]	Time 0.022 (0.022)	Data 0.002 (0.003)	Loss 5.6616 (6.9175)	
Epoch: [2][1260/1445]	Time 0.023 (0.022)	Data 0.002 (0.003)	Loss 6.1427 (6.9418)	
Epoch: [2][1290/1445]	Time 0.022 (0.022)	Data 0.003 (0.003)	Loss 1.8680 (6.9172)	
Epoch: [2][1320/1445]	Time 0.022 (0.022)	Data 0.003 (0.003)	Loss 3.0850 (7.0087)	
Epoch: [2][1350/1445]	Time 0.024 (0.022)	Data 0.003 (0.003)	Loss 2.4082 (6.9715)	
Epoch: [2][1380/1445]	Time 0.024 (0.022)	Data 0.003 (0.003)	Loss 9.1813 (6.9810)	
Epoch: [2][1410/1445]	Time 0.023 (0.022)	Data 0.003 (0.003)	Loss 3.1662 (6.9235)	
Epoch: [2][1440/1445]	Time 0.021 (0.022)	Data 0.003 (0.003)	Loss 6.8905 (6.9745)	
begin test
 * MAE 43.517 
 * best MAE 43.112 
epoch 3, processed 4335 samples, lr 0.0000001000
Epoch: [3][0/1445]	Time 0.152 (0.152)	Data 0.135 (0.135)	Loss 3.1357 (3.1357)	
Epoch: [3][30/1445]	Time 0.023 (0.027)	Data 0.002 (0.007)	Loss 2.2928 (5.0948)	
Epoch: [3][60/1445]	Time 0.022 (0.025)	Data 0.003 (0.005)	Loss 2.0155 (7.4822)	
Epoch: [3][90/1445]	Time 0.023 (0.025)	Data 0.002 (0.004)	Loss 10.5778 (7.9964)	
Epoch: [3][120/1445]	Time 0.023 (0.024)	Data 0.003 (0.004)	Loss 2.4248 (8.1802)	
Epoch: [3][150/1445]	Time 0.022 (0.024)	Data 0.003 (0.004)	Loss 2.0143 (7.9335)	
Epoch: [3][180/1445]	Time 0.023 (0.024)	Data 0.003 (0.003)	Loss 3.4610 (7.2590)	
Epoch: [3][210/1445]	Time 0.023 (0.024)	Data 0.003 (0.003)	Loss 8.2117 (6.6576)	
Epoch: [3][240/1445]	Time 0.023 (0.024)	Data 0.002 (0.003)	Loss 10.6565 (6.3738)	
Epoch: [3][270/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 2.6505 (6.5683)	
Epoch: [3][300/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 5.4548 (6.3819)	
Epoch: [3][330/1445]	Time 0.023 (0.023)	Data 0.004 (0.003)	Loss 3.1532 (6.4680)	
Epoch: [3][360/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 4.0246 (6.6998)	
Epoch: [3][390/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 6.1544 (6.8466)	
Epoch: [3][420/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.6735 (6.6617)	
Epoch: [3][450/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 2.2122 (6.9533)	
Epoch: [3][480/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 9.0060 (7.0833)	
Epoch: [3][510/1445]	Time 0.024 (0.023)	Data 0.003 (0.003)	Loss 6.0908 (7.2514)	
Epoch: [3][540/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 2.3968 (7.4194)	
Epoch: [3][570/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.8138 (7.5775)	
Epoch: [3][600/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 2.6274 (7.6593)	
Epoch: [3][630/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 1.3501 (7.5336)	
Epoch: [3][660/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 5.2314 (7.4666)	
Epoch: [3][690/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 1.7372 (7.2995)	
Epoch: [3][720/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 13.0758 (7.2123)	
Epoch: [3][750/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 8.2871 (7.2541)	
Epoch: [3][780/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.0984 (7.1468)	
Epoch: [3][810/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 4.5676 (7.1282)	
Epoch: [3][840/1445]	Time 0.021 (0.023)	Data 0.002 (0.003)	Loss 7.1866 (7.0376)	
Epoch: [3][870/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.6304 (6.9917)	
Epoch: [3][900/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.5165 (6.9748)	
Epoch: [3][930/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 2.0532 (6.9443)	
Epoch: [3][960/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 6.6624 (6.8590)	
Epoch: [3][990/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 20.3647 (6.8915)	
